NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45544,STARLINK-1373,3461.940816646095,26.866840272968545,18.689975842065074,2.920308725322668e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,367620.9030136708,53.0499,391.40578741392915,STARLINK (LEO)
45551,STARLINK-1294,,,,,['NOMINAL'],Nominal,,53.015,,STARLINK (LEO)
45555,STARLINK-1327,5700.359578016723,0.0,0.0,0.0,['NOMINAL'],Nominal,369201.41704598546,53.0469,374.1906107122872,STARLINK (LEO)
45564,STARLINK-1356,12623.603715956819,0.0,0.0,0.0,['NOMINAL'],Nominal,371456.1746965651,53.0531,402.5688933224674,STARLINK (LEO)
45565,STARLINK-1357,6049.190565600525,0.0,0.0,0.0,['NOMINAL'],Nominal,370405.4748110435,53.0521,367.4267508338858,STARLINK (LEO)
45567,STARLINK-1361,8354.581544667439,0.0,0.0,0.0,['NOMINAL'],Nominal,369927.7736136377,53.0506,407.686963022644,STARLINK (LEO)
45568,STARLINK-1363,12120.917847564802,0.0,0.0,0.0,['NOMINAL'],Nominal,349801.8922689359,53.0429,272.4792737372244,STARLINK (LEO)
45569,STARLINK-1366,12936.337860469428,0.0,0.0,0.0,['NOMINAL'],Nominal,350914.94386430044,53.042,296.355671740651,STARLINK (LEO)
45570,STARLINK-1376,7443.054690118524,0.0,0.0,0.0,['NOMINAL'],Nominal,370804.84699823306,53.1627,475.92041290578436,STARLINK (LEO)
45572,STARLINK-1320,11457.67241255619,0.0,0.0,0.0,['NOMINAL'],Nominal,369599.87697268685,53.0475,336.75912593347255,STARLINK (LEO)
45573,STARLINK-1321,12334.19526493896,0.0,0.0,0.0,['NOMINAL'],Nominal,369237.31457136356,53.0506,386.6522853706566,STARLINK (LEO)
45578,STARLINK-1331,6420.658016968183,0.0,0.0,0.0,['NOMINAL'],Nominal,370704.11993522727,53.0531,406.99529120664545,STARLINK (LEO)
45580,STARLINK-1333,12039.195039680812,0.0,0.0,0.0,['NOMINAL'],Nominal,370649.66164847935,53.1628,481.21463082585825,STARLINK (LEO)
45581,STARLINK-1335,3935.971262639779,20.785095961039016,14.45919719028801,2.2592495609825017e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,368661.0278234093,53.1557,483.2643711151638,STARLINK (LEO)
45582,STARLINK-1337,7117.253629741448,0.0,0.0,0.0,['NOMINAL'],Nominal,371431.69610511814,53.0534,371.275073349455,STARLINK (LEO)
45586,STARLINK-1347,3502.70417051923,26.24514356545849,18.257491175971122,2.852732996245488e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,370858.75050629623,53.045500000000004,383.47206596525126,STARLINK (LEO)
45589,STARLINK-1364,9205.54910180295,0.0,0.0,0.0,['NOMINAL'],Nominal,369555.878377571,53.0501,403.84843948743287,STARLINK (LEO)
45590,STARLINK-1365,10729.384770099461,0.0,0.0,0.0,['NOMINAL'],Nominal,371268.4779472201,53.0522,407.54570458192165,STARLINK (LEO)
45660,STARLINK-1443,10917.860711769228,0.0,0.0,0.0,['NOMINAL'],Nominal,375072.0079744771,53.1369,482.5880522135386,STARLINK (LEO)
45663,STARLINK-1446,13440.989013605738,0.0,0.0,0.0,['NOMINAL'],Nominal,371929.5327594669,53.0241,435.72744982117354,STARLINK (LEO)
45665,STARLINK-1448,12276.055857699248,0.0,0.0,0.0,['NOMINAL'],Nominal,369106.79764579784,53.0505,390.0986694449897,STARLINK (LEO)
45668,STARLINK-1451,5405.108254398163,0.0,0.0,0.0,['NOMINAL'],Nominal,375597.18244743097,53.0529,537.1220827760217,STARLINK (LEO)
45669,STARLINK-1452,6720.700928224767,0.0,0.0,0.0,['NOMINAL'],Nominal,371276.7880012051,53.0306,416.8622045884913,STARLINK (LEO)
45670,STARLINK-1453,12583.055869988166,0.0,0.0,0.0,['NOMINAL'],Nominal,369128.2491954132,53.0464,391.84683102760795,STARLINK (LEO)
